user,item,label,timestamp,genre
4186,1779,2,1018640608,adventure
3005,2662,4,970569230,action
2778,1288,4,973988401,comedy
845,2336,4,975356183,drama
476,3868,3,976221764,comedy
2114,1969,3,974649538,horror
5985,2875,3,960650516,drama
2515,923,3,974070489,drama
5452,1683,3,959934767,drama
1285,3751,4,974792564,animation
508,1197,4,976207436,action
5433,2408,3,960239695,comedy
931,1230,5,975190359,comedy
4120,2918,4,965359081,comedy
1924,2171,3,974693821,comedy
4809,11,3,963251536,comedy
1203,1409,3,998232317,comedy
817,379,3,975389631,action
246,1784,2,976728608,comedy
3022,1527,2,970507475,action
2909,1287,5,971967438,action
1209,2915,3,974845022,comedy
4186,110,3,1017843862,action
1181,194,4,975013289,drama
5998,1683,3,1001831914,drama
4806,2424,4,962936511,comedy
2456,2716,4,974182176,comedy
3885,2463,2,967652529,comedy
4948,1293,5,962642945,drama
2566,1873,4,1007365743,drama
2946,736,3,971276934,action
5044,223,4,976496048,comedy
1737,1556,3,977022768,action
3562,1394,4,966787371,comedy
5978,3633,2,965877459,action
2120,551,4,974646928,children's
238,1747,5,976766894,comedy
1448,2313,5,976122849,drama
2991,594,4,1005746015,animation
5996,165,3,960213707,action
1005,2987,4,975037816,adventure
2880,223,4,972270098,comedy
955,2174,2,975209633,comedy
5811,2398,5,958724122,drama
4028,539,1,966200073,comedy
5747,1266,5,958356354,western
3969,3176,4,965660330,drama
5016,269,3,962584709,drama
2248,1073,5,974596181,adventure
3292,2942,3,968096993,drama
2664,3259,2,973462183,drama
1692,969,4,974710634,action
2231,2872,2,974598542,action
3402,2677,2,967432959,documentary
1449,2956,1,975519325,action
3834,1792,4,966404017,action
3243,1125,4,968339882,comedy
670,3362,5,975628441,comedy
528,3712,3,980039278,comedy
2323,1221,3,974444261,action
2691,1204,5,976388253,adventure
2794,1127,3,972919579,action
873,3359,5,975279954,drama
4979,2249,3,962604583,comedy
5996,2146,4,956874205,drama
2223,3363,4,974601365,comedy
5364,1676,3,960582760,action
3159,3556,4,978226985,comedy
5096,2959,5,988565403,drama
2077,69,5,979971970,comedy
2355,1885,2,974399499,comedy
765,3698,3,975450856,action
307,2648,5,976486405,horror
5627,3153,3,959041461,action
